coin_id,name,symbol,is_stablecoin,is_wrapped_coin,confidence,stablecoin_categories,wrapped_categories,all_categories,last_updated
socean-staked-sol,Sanctum Infinity,inf,False,True,high,,Liquid Staking Tokens;Liquid Staking,Solana Ecosystem;Liquid Staking Tokens;Liquid Staking,2025-07-11T09:52:39.741922+00:00
snowbank,Snowbank,sb,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;Rebase Tokens;Avalanche Ecosystem;Ohm Fork,2025-07-11T09:53:33.777965+00:00
solayer-staked-sol,Solayer Staked SOL,ssol,False,True,high,,Liquid Staking Tokens;Liquid Staking,Solana Ecosystem;Liquid Staking Tokens;Restaking;Liquid Restaking Tokens;Liquid Staked SOL;Liquid Staking;Liquid Restaked SOL,2025-07-11T05:00:44.746418+00:00
solv-btc,Solv Protocol BTC,solvbtc,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;BNB Chain Ecosystem;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;ZkSync Ecosystem;Mantle Ecosystem;Base Ecosystem;Berachain Ecosystem;Merlin Chain Ecosystem;Mode Ecosystem;Rootstock Ecosystem;Sonic Ecosystem;Sei Network Ecosystem;Ink Ecosystem;Soneium Ecosystem;HyperEVM Ecosystem;Corn Ecosystem,2025-07-11T05:00:45.972155+00:00
solv-protocol-solvbtc-core,Solv Protocol SolvBTC.CORE,solvbtc.core,False,True,high,,Liquid Staking Tokens;Liquid Staking,Decentralized Finance (DeFi);Liquid Staking Tokens;Core Ecosystem;Liquid Staking,2025-07-11T09:50:37.174694+00:00
solv-protocol-solvbtc-bbn,Solv Protocol Staked BTC,xsolvbtc,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;BNB Chain Ecosystem;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Mantle Ecosystem;Linea Ecosystem;Base Ecosystem;Restaking;Berachain Ecosystem;Merlin Chain Ecosystem;Rootstock Ecosystem;Sonic Ecosystem;Sei Network Ecosystem;Ink Ecosystem;Soneium Ecosystem;HyperEVM Ecosystem;Corn Ecosystem;Liquid Staked BTC,2025-07-11T05:00:46.587265+00:00
spring-staked-sui,Spring Staked SUI,ssui,False,True,high,,Liquid Staking Tokens;Liquid Staking,Liquid Staking Tokens;Sui Ecosystem;Liquid Staking;Liquid Staked SUI,2025-07-11T09:54:52.047711+00:00
stader-ethx,Stader ETHx,ethx,False,True,high,,Liquid Staking Tokens;Liquid Staking,Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staking,2025-07-11T05:00:50.785585+00:00
stader-maticx,Stader MaticX,maticx,False,True,high,,Liquid Staking Tokens;Liquid Staking,Polygon Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Manta Network Ecosystem;Liquid Staking,2025-07-11T09:53:53.229640+00:00
stakewise-v3-oseth,StakeWise Staked ETH,oseth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Decentralized Finance (DeFi);Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T05:00:52.999729+00:00
staked-frax,Staked FRAX,sfrax,False,True,high,,Liquid Staking Tokens,Decentralized Finance (DeFi);USD Stablecoin;BNB Chain Ecosystem;Avalanche Ecosystem;Arbitrum Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Optimism Ecosystem;Fiat-backed Stablecoin,2025-07-11T09:51:09.389353+00:00
staked-frax-ether,Staked Frax Ether,sfrxeth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Decentralized Finance (DeFi);BNB Chain Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Moonbeam Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Optimism Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T05:00:51.914687+00:00
staked-hype,Staked HYPE,sthype,False,True,high,,Liquid Staking Tokens,Liquid Staking Tokens;HyperEVM Ecosystem,2025-07-11T05:00:52.455355+00:00
level-staked-usd,Staked Level USD,slvlusd,False,True,high,,Liquid Staking Tokens,Decentralized Finance (DeFi);Liquid Staking Tokens;Ethereum Ecosystem;Yield-Bearing Stablecoin,2025-07-11T09:52:03.632654+00:00
super-oeth,Super OETH,superoeth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Decentralized Finance (DeFi);Liquid Staking Tokens;Base Ecosystem;Liquid Staked ETH;Liquid Staking;Plume Network Ecosystem,2025-07-11T05:01:04.292504+00:00
sweth,Swell Ethereum,sweth,False,True,high,,Liquid Staking Tokens;Liquid Staking,Arbitrum Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staking,2025-07-11T05:01:08.298891+00:00
temple,TempleDAO,temple,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;Ethereum Ecosystem,2025-07-11T09:50:56.378830+00:00
thala-apt,Thala APT,thapt,False,True,high,,Liquid Staking Tokens,Decentralized Finance (DeFi);Liquid Staking Tokens;Aptos Ecosystem;Liquid Staked APT	,2025-07-11T09:54:01.736681+00:00
treehouse-eth,Treehouse ETH,teth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Decentralized Finance (DeFi);Arbitrum Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T05:01:24.680102+00:00
trufin-staked-apt,TruFin Staked APT,truapt,False,True,high,,Liquid Staking Tokens;Liquid Staking,Decentralized Finance (DeFi);Liquid Staking Tokens;Aptos Ecosystem;Liquid Staking;Liquid Staked APT	,2025-07-11T09:52:27.566647+00:00
trufin-staked-matic,TruFin Staked MATIC,trumatic,False,True,high,,Liquid Staking Tokens;Liquid Staking,Polygon Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staking,2025-07-11T09:53:14.485051+00:00
usualx,USUALx,usualx,False,True,high,,Liquid Staking,Decentralized Finance (DeFi);Ethereum Ecosystem;Liquid Staking,2025-07-11T09:51:21.024873+00:00
universal-btc,Universal BTC,unibtc,False,True,high,,Liquid Staking Tokens;Liquid Staking,BNB Chain Ecosystem;Arbitrum Ecosystem;IoTeX Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Optimism Ecosystem;Mantle Ecosystem;Berachain Ecosystem;ZetaChain Ecosystem;Merlin Chain Ecosystem;Mode Ecosystem;Bitlayer Ecosystem;Sonic Ecosystem;Liquid Staking;BSquared Network Ecosystem;Corn Ecosystem,2025-07-11T05:01:32.056422+00:00
weth,WETH,weth,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Wrapped-Tokens;Ethereum Ecosystem;FTX Holdings;Tron Ecosystem;Index Coop Defi Index,2025-07-11T05:01:52.635148+00:00
wrapped-avax,Wrapped AVAX,wavax,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Wrapped-Tokens;Avalanche Ecosystem,2025-07-11T05:01:56.629374+00:00
wbnb,Wrapped BNB,wbnb,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;BNB Chain Ecosystem;Wrapped-Tokens,2025-07-11T05:01:51.406733+00:00
wrapped-beacon-eth,Wrapped Beacon ETH,wbeth,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;BNB Chain Ecosystem;Wrapped-Tokens;Ethereum Ecosystem,2025-07-11T05:01:57.190874+00:00
wrapped-bitcoin,Wrapped Bitcoin,wbtc,False,True,high,,Crypto-Backed Tokens;Tokenized BTC;Wrapped-Tokens,Crypto-Backed Tokens;Tokenized BTC;Wrapped-Tokens;Solana Ecosystem;Ethereum Ecosystem;FTX Holdings;Osmosis Ecosystem;World Liberty Financial Portfolio,2025-07-11T05:01:57.791281+00:00
wrapped-centrifuge,Wrapped Centrifuge,wcfg,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Wrapped-Tokens;Ethereum Ecosystem,2025-07-11T09:51:33.004182+00:00
wrapped-ether-mantle-bridge,Wrapped Ether (Mantle Bridge),weth,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Smart Contract Platform;Crypto-Backed Tokens;Wrapped-Tokens;Layer 2 (L2);Mantle Ecosystem,2025-07-11T05:01:59.391824+00:00
wrapped-hype,Wrapped HYPE,whype,False,True,high,,Wrapped-Tokens,Wrapped-Tokens;HyperEVM Ecosystem,2025-07-11T05:02:00.587467+00:00
wrapped-nxm,Wrapped NXM,wnxm,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Decentralized Finance (DeFi);Insurance;Wrapped-Tokens;Ethereum Ecosystem;Blockchain Capital Portfolio,2025-07-11T09:52:56.701228+00:00
wmatic,Wrapped POL,wpol,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Wrapped-Tokens;Polygon Ecosystem;Fantom Ecosystem;IoTeX Ecosystem;Velas Ecosystem;Linea Ecosystem;Polygon zkEVM Ecosystem;Astar Ecosystem;Telos Ecosystem,2025-07-11T09:52:03.022554+00:00
wrapped-quil,Wrapped QUIL,quil,False,True,high,,Wrapped-Tokens,Smart Contract Platform;Wrapped-Tokens;Layer 1 (L1);Ethereum Ecosystem;Made in USA,2025-07-11T09:53:18.138616+00:00
wrapped-solana,Wrapped SOL,sol,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Wrapped-Tokens;Solana Ecosystem,2025-07-11T05:02:01.150937+00:00
wrapped-xrp,Wrapped XRP,wxrp,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Wrapped-Tokens;Ethereum Ecosystem,2025-07-11T09:52:42.324264+00:00
wrapped-eeth,Wrapped eETH,weeth,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Wrapped-Tokens;Arbitrum Ecosystem;Ethereum Ecosystem;Restaking;Liquid Restaking Tokens;Ether.fi Ecosystem,2025-07-11T05:01:58.840677+00:00
wrapped-fragsol,Wrapped fragSOL,wfragsol,False,True,high,,Wrapped-Tokens,Wrapped-Tokens;Solana Ecosystem,2025-07-11T05:02:00.021170+00:00
wrapped-steth,Wrapped stETH,wsteth,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens;Liquid Staking,Crypto-Backed Tokens;Decentralized Finance (DeFi);Wrapped-Tokens;Ethereum Ecosystem;Liquid Staking;Unichain Ecosystem,2025-07-11T05:02:01.853302+00:00
wrapped-zenbtc,Zenrock BTC,zenbtc,False,True,high,,Wrapped-Tokens,Wrapped-Tokens;Solana Ecosystem,2025-07-11T05:02:02.675870+00:00
compound-ether,cETH,ceth,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;Decentralized Finance (DeFi);Compound Tokens;cToken;Ethereum Ecosystem,2025-07-11T04:57:46.933716+00:00
compound-usd-coin,cUSDC,cusdc,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;Decentralized Finance (DeFi);Compound Tokens;Ethereum Ecosystem,2025-07-11T09:53:53.729158+00:00
compound-wrapped-btc,cWBTC,cwbtc,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;Decentralized Finance (DeFi);cToken;Ethereum Ecosystem,2025-07-11T04:57:48.106264+00:00
cgeth-hashkey-cloud,cgETH Hashkey Cloud,cgeth.hashkey,False,True,high,,Liquid Staking Tokens,Decentralized Finance (DeFi);Arbitrum Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem,2025-07-11T04:57:38.174947+00:00
ether-fi-staked-eth,ether.fi Staked ETH,eeth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Liquid Staking Tokens;Ethereum Ecosystem;Restaking;Liquid Restaking Tokens;Ether.fi Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T04:58:18.129500+00:00
pumpbtc,pumpBTC,pumpbtc,False,True,high,,Liquid Staking Tokens;Liquid Staking,BNB Chain Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staking;Liquid Staked BTC,2025-07-11T05:00:15.345737+00:00
